precio,recamaras,banos,estacionamientos,dimensiones,precio_por_mt2,precio_promedio_por_mt2_por_alcaldia,banos_por_habitacion,habitaciones_totales,alcaldia_Azcapotzalco,alcaldia_Benito Juárez,alcaldia_Coyoacán,alcaldia_Cuajimalpa de Morelos,alcaldia_Cuauhtémoc,alcaldia_Gustavo A. Madero,alcaldia_Iztacalco,alcaldia_Iztapalapa,alcaldia_La Magdalena Contreras,alcaldia_Miguel Hidalgo,alcaldia_Tlalpan,alcaldia_Tláhuac,alcaldia_Venustiano Carranza,alcaldia_Xochimilco,alcaldia_Álvaro Obregón,log_precio
64000000.0,4,4,8,623,102728.73194221509,44286.77014042868,1.0,8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,17.974393656948944
15499000.0,3,3,6,361,42933.518005540165,42135.20749665328,1.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.556286128199478
8900000.0,4,4,3,265,33584.90566037736,18823.529411764706,1.0,8,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,16.001561947061912
24750000.0,4,4,4,655,37786.259541984735,42135.20749665328,1.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,17.024336087383013
11600000.0,4,4,3,520,22307.69230769231,32638.88888888889,1.0,8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,16.266515742283485
12750000.0,3,3,3,262,48664.12213740458,58348.50993377484,1.0,6,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,16.36104190800008
12450000.0,4,3,2,300,41500.0,47764.786795048145,0.75,7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,16.337231261196273
12990000.0,2,2,2,207,62753.6231884058,47764.786795048145,1.0,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,16.379690465629075
34725000.0,4,3,6,727,47764.786795048145,47764.786795048145,0.75,7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,17.362970475402378
19200000.0,3,4,6,392,48979.5918367347,29268.29268292683,1.3333333333333333,7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,16.770420889081343
15800000.0,3,2,3,246,64227.64227642276,57942.13814445028,0.6666666666666666,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,16.575520561288332
33000000.0,6,6,19,1333,24756.189047261814,42135.20749665328,1.0,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,17.312018149733785
42900000.0,4,6,2,450,95333.33333333333,58348.50993377484,1.5,10,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,17.57438240720827
4450000.0,6,3,3,227,19603.52422907489,42135.20749665328,0.5,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15.308414878861498
8900000.0,5,3,3,225,39555.555555555555,32638.88888888889,0.6,8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,16.001561947061912
12600000.0,3,3,3,228,55263.15789473684,29268.29268292683,1.0,6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,16.349207451286784
9500000.0,4,4,2,437,21739.130434782608,42135.20749665328,1.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.066802461833923
13000000.0,6,3,4,200,65000.0,57942.13814445028,0.5,9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,16.380459992348886
70000000.0,4,4,4,705,99290.78014184398,44286.77014042868,1.0,8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,18.064005814299346
11490000.0,4,2,2,160,71812.5,42135.20749665328,0.5,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.256987736857138
9995000.0,4,3,4,158,63259.49367088608,57942.13814445028,0.75,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,16.117595625966658
36500000.0,3,3,3,298,122483.22147651007,58348.50993377484,1.0,6,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,17.41282284594998
15450000.0,3,3,2,341,45307.917888563046,42135.20749665328,1.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.553119626032945
19400000.0,3,3,2,207,93719.80676328503,42135.20749665328,1.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.780783675579947
59000000.0,3,4,6,999,59059.05905905906,42135.20749665328,1.3333333333333333,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,17.893048018819147
30000000.0,4,3,5,600,50000.0,58348.50993377484,0.75,7,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,17.216707972959764
68250000.0,4,4,6,1180,57838.983050847455,58348.50993377484,1.0,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,18.038688006681358
8990000.0,3,3,2,234,38418.80341880342,44286.77014042868,1.0,6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,16.0116235176825
54000000.0,4,4,7,600,90000.0,58348.50993377484,1.0,8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,17.804494623047066
27900000.0,4,6,6,674,41394.6587537092,47764.786795048145,1.5,10,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,17.14413728263389
6690000.0,5,3,5,229,29213.973799126637,42135.20749665328,0.6,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15.716124581581232
20800000.0,3,3,4,1868,11134.90364025696,32638.88888888889,1.0,6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,16.85046359274847
19900000.0,4,4,4,786,25318.066157760815,42135.20749665328,1.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.806230339945976
21635000.0,5,5,5,562,38496.44128113879,42135.20749665328,1.0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.889822977862522
17300000.0,3,4,2,220,78636.36363636363,42135.20749665328,1.3333333333333333,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.666217117271472
10500000.0,4,2,2,172,61046.51162790698,57942.13814445028,0.5,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,16.166885910365842
38000000.0,4,3,6,1000,38000.0,32494.726797910807,0.75,7,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,17.453096744006448
5800000.0,6,3,4,240,24166.666666666668,32638.88888888889,0.5,9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,15.573368647930426
8590000.0,3,2,1,156,55064.10256410256,32494.726797910807,0.6666666666666666,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,15.966109410374866
13900000.0,5,2,2,242,57438.01652892562,57942.13814445028,0.4,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,16.447399470043365
39000000.0,7,3,4,444,87837.83783783784,47764.786795048145,0.42857142857142855,10,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,17.479072229734946
60000000.0,3,4,6,1596,37593.984962406015,42135.20749665328,1.3333333333333333,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,17.909855136853043
33700000.0,4,4,4,784,42984.69387755102,42135.20749665328,1.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,17.33300842499618
8750000.0,3,2,2,140,62500.0,29268.29268292683,0.6666666666666666,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,15.984564372619506
19100000.0,3,4,4,630,30317.460317460318,29268.29268292683,1.3333333333333333,7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,16.765198945372877
36000000.0,3,3,3,320,112500.0,58348.50993377484,1.0,6,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,17.399029524198163
35000000.0,3,3,4,690,50724.637681159424,58348.50993377484,1.0,6,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,17.370858648025116
29500000.0,4,4,3,462,63852.81385281385,47764.786795048145,1.0,8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,17.19990085520835
20950000.0,4,3,3,590,35508.47457627119,42135.20749665328,0.75,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.857649252065116
31000000.0,3,3,10,1245,24899.5983935743,58348.50993377484,1.0,6,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,17.249497794707484
4800000.0,5,3,3,120,40000.0,32494.726797910807,0.6,8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,15.38412668421143
8995000.0,3,2,3,250,35980.0,32638.88888888889,0.6666666666666666,5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,16.012179536539637
8600000.0,4,2,2,211,40758.29383886256,42135.20749665328,0.5,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15.967272877502799
15400000.0,4,4,3,340,45294.117647058825,42135.20749665328,1.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,16.54987813231892
17000000.0,4,2,1,124,137096.7741935484,66594.8275862069,0.5,6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,16.648723960844016
