dir,precio,col,recamaras,banos,estacionamientos,descripcion,dimensiones,precio_por_mt2,precio_promedio_por_mt2_por_alcaldia,banos_por_habitacion,habitaciones_totales,alcaldia_Azcapotzalco,alcaldia_Benito Juárez,alcaldia_Coyoacán,alcaldia_Cuajimalpa de Morelos,alcaldia_Cuauhtémoc,alcaldia_Gustavo A. Madero,alcaldia_Iztacalco,alcaldia_Iztapalapa,alcaldia_La Magdalena Contreras,alcaldia_Miguel Hidalgo,alcaldia_Tlalpan,alcaldia_Venustiano Carranza,alcaldia_Álvaro Obregón,log_precio
Carr. México-Toluca 5804,7500000,Contadero,3,3,2,"Departamento en venta en Be Grand Contadero, edificio de lujo con excelentes áreas comunes, cuenta con 3 habitaciones la principal con baño y vesitdor, 3 baños completos, cuarto de servicio con baño propio y 2 estacionamientos el edificio cuenta con seguridad 24 hrs, estacionamiento de visitas, casa club con alberca, gimnasio, area de asadores, spa, canchas de paddel, sport bar, kids club y áreas verdes, cerca de universidades, hospitales, supermercados",140,53571.42857142857,46257.198443579764,1.0,6,False,False,False,True,False,False,False,False,False,False,False,False,False,15.830413711839864
MIER Y PESADO,9945880,Del Valle Norte,3,3,2,"El desarrollo de Mier y Pesado es un moderno conjunto de 3 torres con 6 departamentos por piso, algunos con Terrazas amplias y/o Balcones, Roof Garden privados y comunes, estacionamientos independientes, elevadores, bodegas, así como roof garden común. El Pent House en 4to nivel, cuenta con: -143 m2 habitables más 17 m2 de balcones. - 66 m2 de roof privado con acceso directo. - Cocina Integral con barra de granito. - Sala comedor amplios con acceso a balcón exterior. - 3 recamaras amplias, dos de ellas con acceso a balcón. - 3 baños completos con cancel de cristal templado. - Área de lavado con ventilación e iluminación natural. - 2 cajones de estacionamiento amplios independientes. - 1 bodega. Se entrega en el 4to trimestre de 2025. Opción a tener un roof privado de 50 m2 por sólo $500, 000 o 60 m2 por $600, 000 extra. Pisos en porcelanato castel, carpintería en chapa de nogal, barras de granito en cocina, mármol y cristal templado en baños. Interesados contactar en día y horario abierto.",223,44600.358744394616,52611.76470588235,1.0,6,False,True,False,False,False,False,False,False,False,False,False,False,False,16.112669053576358
"Av. Baja California 149, Roma, Cuauhtémoc",6565000,Roma,2,2,1,"¡La nueva preventa en la Col. Roma se esta agotando! Compra el tuyo aquí. Te presentamos este departamento único en su clase pues contará con los mejores acabados, estancia perfectamente distribuida, excelentes amenidades y la mejor ubicación. El departamento estará equipado con una cocina de primer nivel, acabados de alta calidad y accesorios de lujo. Además cuentan con carpintería importada y doble vidrio en fachadas para brindarte la máxima tranquilidad. Características: - 67. 56 m² habitables- 2 habitaciones- 2 baños completos- 1 cajón de E- Cocina equipada- ClosétsAmenidades: - Rooftop- Gimnasio- Alberca- Coworking- Área de lectura- Ludoteca- Lounge- Fire pitContáctame y obtén más información acerca de este increíble departamento.",67,97985.07462686567,72589.04109589041,1.0,4,False,False,False,False,True,False,False,False,False,False,False,False,False,15.697263218041947
CALZ. DESIERTO DE LOS LEONES 6060,10550000,San Bartolo Ameyalco,3,3,3,"Departamento en venta, en la colonia San Bartolo Ameyalco Descubre el lujo y la exclusividad en este impresionante departamento situado en el prestigioso Fraccionamiento Bosques 6060. Disfrute de amenidades de primer nivel como un hermoso bosque, ludoteca, alberca, cafetería, gimnasio y salón de eventos todo dentro de un entorno seguro con vigilancia 24 horas. Este espacioso departamento cuenta con 3 recámaras, cada una con su propio baño completo. El área de la sala de tv es perfecta para el entretenimiento familiar. Cuenta con una amplia sala - comedor con salida a una encantadora terraza. La cocina equipada se complementa con un área de lavado y cuarto de servicio. Cuenta con 3 lugares de estacionamiento y una bodega. No te pierdas la oportunidad de vivir en un lugar que combina comodidad, lujo y seguridad.",197,53553.299492385784,50173.010380622836,1.0,6,False,False,False,False,False,False,False,False,False,False,False,False,True,16.171636512673075
La Loma Santa Fe,14500000,Santa Fe La Loma,3,4,3,"Departamento en dos vistas, la loma sta fe. 289m2. 3 Recámaras con walk in closet. Family. 4. 5 baños. Sala comedor. Cocina remodelada. 1 Rec servicio. Lavandería súper amplia. Pisos de madera y mármol. 3 Cajones de estacionamiento. Bodega. Excelentes áreas comunes: dos canchas de pádel, alberca, jardín con cafetería, gimnasio, dos salones de fiestas. ** El pago podrá realizarse con recursos propios o con crédito hipotecario de cualquier institución, pública o privada, sujeto a la negociación que lleguen las partes de la compraventa y a las políticas de la institución correspondiente. ** En las operaciones de crédito el costo total se determinará en función de los montos variables de conceptos de crédito y gastos notariales",289,50173.010380622836,50173.010380622836,1.3333333333333333,7,False,False,False,False,False,False,False,False,False,False,False,False,True,16.489659276356317
Sierra Vertientes,11500000,Lomas de Chapultepec,3,3,3,"Amplio departamento en venta, en una de las mejores colonias de la Ciudad de México, como lo es Lomas de Chapultepec, se encuentra en un séptimo piso, tiene 2 elevadores, consta de 272 m2 en total, 2 recamaras (con posibilidad para una tercera recamara de buen tamaño) 3 baños completos y un medio baño para visitas, sala, comedor, cocina integral equipada, y bodega, cuarto de servicio con baño completo, 3 cajones de estacionamiento, dentro del condominio cuenta con algunas amenidades como, Seguridad 24/7, un gimnasio y un salón de usos multiples.",272,42279.41176470588,75825.49019607843,1.0,6,False,False,False,False,False,False,False,False,False,True,False,False,False,16.257857680289998
Av Paseo de la Reforma 2742,7400000,Lomas de Bezares,2,2,2,"Departamento en Venta en Lomas de Bezares. Descubre este lujoso departamento ubicado en Carretera México-Toluca 2742. Esta propiedad de un solo piso cuenta con 2 recámaras, cada una con su baño completo y vestidor/clóset, además de un family espacioso, lo que la hace muy versátil para familias o parejas. Con acabados y amenidades de lujo, este departamento ofrece comodidad y estilo de vida de alta calidad. + Tipo de operación: Departamento en venta. + Ubicación: Carretera México-Toluca 2742, Lomas de Bezares, Ciudad de México, cdmx. Características relevantes: • Metraje: 185m² • Recámaras: 2 recámaras amplias con vestidor grande. • Baños: 2 baños completos y medio de visitas. • Cocina: Integral amplia. • Sala y comedor: Grandes. • Family/Sala de tv: Grande. • Cuarto de servicio: Con baño. • Área de lavado: Amplia. • Estacionamiento: 2 cajones disponibles. • Vistas: Bonitas al bosque. Normas: • Mascotas: Permitidas. • Fumar: Permitido. Amenidades del residencial premium: • Alberca techada, chapoteadero, camastros y jacuzzi. • Gimnasio completo. • Spa con vapor y zona de masajes. • Jardín grande con juegos de niños. • Zona de asadores. • Salón de eventos amplio con terraza. • Zona de mascotas. • Salón con ping-pong y futbolito. Vialidades: • Av. Constituyentes. • Av Paseo de la Reforma. • Carretera libre Mex-Toluca. • Carretera cuota Mex-Toluca. • Cerca de Santa Fe y de las lomas. Servicios cercanos: Centros comerciales con todos los servicios, Supermercados, Hospitales, Escuelas y universidades, Farmacias, Restaurantes, Cines y otros servicios recreativos, Corporativos cercanos, Bancos, Entre muchos otros servicios. Esperamos su llamada con mucho gusto",185,40000.0,75825.49019607843,1.0,4,False,False,False,False,False,False,False,False,False,True,False,False,False,15.816990693309524
BOSQUE DE TORONJOS,18500000,Bosques de las Lomas,3,3,4,"Tu nuevo hogar te encantará inundado de luz y atractiva vista arbolada, proporcionando un espacio para la relajación total. Precioso el vestíbulo recibe a las invitados donde la barra y la cava puede ser el centro de entretenimiento. Las tres recámaras todas con vestidor y baño alojan serenidad al igual que la tina y vapor de la recámara principal. Con cuatro lugares de estacionamiento techados y dos bodegas disponibles. Agenda tu cita al. - 55Ver datos. - 55Ver datos. Aviso de privacidad, así como quejas, sugerencias y más, contáctanos o visita nuestro sitio web. No incluye el mobiliario mostrado en las fotografías. El precio es más gastos e impuestos de escrituración.",446,41479.82062780269,46257.198443579764,1.0,6,False,False,False,True,False,False,False,False,False,False,False,False,False,16.733281344102608
Lafragua 13,14500000,Tabacalera,1,2,2,"Venta de Hermoso Departamento en Be Grand Reforma Con Vista Panorámica. Cuenta 125m2, Sala comedor, Cocina integral abierta, balcón. 3 recamaras 2 baños, Área de lavado, 2 lugares de estacionamiento, Bodega. Piso alto. El Edificio cuenta con seguridad y Valet parking. Amenidades: Alberca, jacuzzi, gimnasio, spa, business center y salón de fiestas",125,116000.0,72589.04109589041,2.0,3,False,False,False,False,True,False,False,False,False,False,False,False,False,16.489659276356317
Lago Neuchatel 79,16990000,Ampliación Granada,3,2,3,"Este espectacular departamento cuenta con 2 recámaras + estudio + cuarto de servicio completo. Está ubicado en el prestigiado Cuadrante Neuchatel, el desarrollo más solicitado de la zona. Características del departamento: - Metraje total: 207 m² - Área interior: 142. 75 m² - Terraza exterior privada: 64. 29 m² - 2 recámaras + alcoba / estudio. - Cuarto de servicio completo. - 3 estacionamientos, amplios y completamente independientes. - 3 bodegas con 22. 98 m2 totales. Especificaciones: - Recámara principal: walking closet, baño completo y vestidor. - Acabados de lujo. + Mármol Calcatta Altissimo en baño principal. + Mármol Thunder Blue y Star Galaxy en baño principal y secundario. + Cubierta de Cuarzo Silestone tipo cascada, acabado mate. + Lambrines en Melamina española de alta calidad. + Madera de ingeniería alpes. + Porcelanato Italiano de gran formato. La terraza privada es ideal para reuniones al aire libre. Fue diseñada con altos estándares en porcelanatos de gran formato y detalles de iluminación indirecta que crean un ambiente tranquilo y acogedor. Se permite poner una pérgola para aprovechar mejor el espacio, con un comedor exterior, asador y más. (No incluye pérgola) Amenidades de lujo: - Alberca y jacuzzi. - Vapor y sauna. - Gimnasio completamente equipado. - Ludoteca para los más pequeños. - Salón de eventos y bar lounge. - Pet park para consentir a tus mascotas. Ubicación inmejorable: En el exclusivo Cuadrante Neuchatel, rodeado de restaurantes gourmet, tiendas de lujo y centros comerciales. Disfruta de la comodidad de vivir cerca de todo lo que necesitas, sin sacrificar la tranquilidad de una zona residencial. ¡No dejes pasar esta oportunidad única! Contáctanos para más información y agenda tu cita para conocer tu nuevo hogar.",207,82077.29468599033,75825.49019607843,0.6666666666666666,5,False,False,False,False,False,False,False,False,False,True,False,False,False,16.648135552506265
